type,timestamp,sessionID,uid,query,docid,rank,page,url,windowLocation,fromURL,toURL,clicked,fromPage,toPage
TaskStarted,2026-03-19 10:35:27.215000+00:00,0b0cd4e1-3bd5-41fc-9e24-d7a34709df8c,Participant1,,,,,,,,,,,
idSubmitted,2026-03-19 10:35:27.220000+00:00,0b0cd4e1-3bd5-41fc-9e24-d7a34709df8c,Participant1,,,,,,,,,,,
queryBoxFocused,2026-03-19 10:35:28.366000+00:00,0b0cd4e1-3bd5-41fc-9e24-d7a34709df8c,Participant1,,,,,,,,,,,
querySubmitted,2026-03-19 10:35:36.606000+00:00,0b0cd4e1-3bd5-41fc-9e24-d7a34709df8c,Participant1,what does the fox say,,,,,,,,,,
searchResultGenerated,2026-03-19 10:35:38.238000+00:00,0b0cd4e1-3bd5-41fc-9e24-d7a34709df8c,Participant1,what does the fox say,2891,1,1,https://www.africanstorybook.org/#,http://localhost:7001/result?query=what+does+the+fox+say&page=1,,,,,
searchResultGenerated,2026-03-19 10:35:38.238000+00:00,0b0cd4e1-3bd5-41fc-9e24-d7a34709df8c,Participant1,what does the fox say,7175,2,1,http://www.gutenberg.org/cache/epub/3152/pg3152.html,http://localhost:7001/result?query=what+does+the+fox+say&page=1,,,,,
searchResultGenerated,2026-03-19 10:35:38.239000+00:00,0b0cd4e1-3bd5-41fc-9e24-d7a34709df8c,Participant1,what does the fox say,7034,3,1,http://www.gutenberg.org/files/25359/25359-h/25359-h.htm#Page_294,http://localhost:7001/result?query=what+does+the+fox+say&page=1,,,,,
searchResultGenerated,2026-03-19 10:35:38.239000+00:00,0b0cd4e1-3bd5-41fc-9e24-d7a34709df8c,Participant1,what does the fox say,5743,4,1,http://www.gutenberg.org/files/24479/24479-h/24479-h.htm#Page_167,http://localhost:7001/result?query=what+does+the+fox+say&page=1,,,,,
searchResultGenerated,2026-03-19 10:35:38.239000+00:00,0b0cd4e1-3bd5-41fc-9e24-d7a34709df8c,Participant1,what does the fox say,5489,5,1,http://www.gutenberg.org/ebooks/19399,http://localhost:7001/result?query=what+does+the+fox+say&page=1,,,,,
searchResultGenerated,2026-03-19 10:35:38.240000+00:00,0b0cd4e1-3bd5-41fc-9e24-d7a34709df8c,Participant1,what does the fox say,3304,6,1,https://www.africanstorybook.org/#,http://localhost:7001/result?query=what+does+the+fox+say&page=1,,,,,
searchResultGenerated,2026-03-19 10:35:38.240000+00:00,0b0cd4e1-3bd5-41fc-9e24-d7a34709df8c,Participant1,what does the fox say,7171,7,1,http://www.gutenberg.org/cache/epub/3152/pg3152.html,http://localhost:7001/result?query=what+does+the+fox+say&page=1,,,,,
searchResultGenerated,2026-03-19 10:35:38.241000+00:00,0b0cd4e1-3bd5-41fc-9e24-d7a34709df8c,Participant1,what does the fox say,7163,8,1,http://www.gutenberg.org/cache/epub/3152/pg3152.html,http://localhost:7001/result?query=what+does+the+fox+say&page=1,,,,,
searchResultGenerated,2026-03-19 10:35:38.241000+00:00,0b0cd4e1-3bd5-41fc-9e24-d7a34709df8c,Participant1,what does the fox say,6891,9,1,http://www.gutenberg.org/files/4980/4980-h/4980-h.htm,http://localhost:7001/result?query=what+does+the+fox+say&page=1,,,,,
searchResultGenerated,2026-03-19 10:35:38.241000+00:00,0b0cd4e1-3bd5-41fc-9e24-d7a34709df8c,Participant1,what does the fox say,3813,10,1,http://www.gutenberg.org/cache/epub/8075/pg8075-images.html,http://localhost:7001/result?query=what+does+the+fox+say&page=1,,,,,
cursorEnteredSnippet,2026-03-19 10:35:44.422000+00:00,0b0cd4e1-3bd5-41fc-9e24-d7a34709df8c,Participant1,what does the fox say,3813,10,1,http://www.gutenberg.org/cache/epub/8075/pg8075-images.html,http://localhost:7001/result?query=what+does+the+fox+say&page=1,,,,,
cursorLeftSnippet,2026-03-19 10:35:45.105000+00:00,0b0cd4e1-3bd5-41fc-9e24-d7a34709df8c,Participant1,what does the fox say,3813,10,1,http://www.gutenberg.org/cache/epub/8075/pg8075-images.html,http://localhost:7001/result?query=what+does+the+fox+say&page=1,,,,,
cursorEnteredSnippet,2026-03-19 10:35:45.122000+00:00,0b0cd4e1-3bd5-41fc-9e24-d7a34709df8c,Participant1,what does the fox say,6891,9,1,http://www.gutenberg.org/files/4980/4980-h/4980-h.htm,http://localhost:7001/result?query=what+does+the+fox+say&page=1,,,,,
cursorLeftSnippet,2026-03-19 10:35:46.474000+00:00,0b0cd4e1-3bd5-41fc-9e24-d7a34709df8c,Participant1,what does the fox say,6891,9,1,http://www.gutenberg.org/files/4980/4980-h/4980-h.htm,http://localhost:7001/result?query=what+does+the+fox+say&page=1,,,,,
cursorEnteredSnippet,2026-03-19 10:35:46.474000+00:00,0b0cd4e1-3bd5-41fc-9e24-d7a34709df8c,Participant1,what does the fox say,7171,7,1,http://www.gutenberg.org/cache/epub/3152/pg3152.html,http://localhost:7001/result?query=what+does+the+fox+say&page=1,,,,,
cursorLeftSnippet,2026-03-19 10:35:46.672000+00:00,0b0cd4e1-3bd5-41fc-9e24-d7a34709df8c,Participant1,what does the fox say,7171,7,1,http://www.gutenberg.org/cache/epub/3152/pg3152.html,http://localhost:7001/result?query=what+does+the+fox+say&page=1,,,,,
cursorEnteredSnippet,2026-03-19 10:35:46.689000+00:00,0b0cd4e1-3bd5-41fc-9e24-d7a34709df8c,Participant1,what does the fox say,7163,8,1,http://www.gutenberg.org/cache/epub/3152/pg3152.html,http://localhost:7001/result?query=what+does+the+fox+say&page=1,,,,,
clickedResult,2026-03-19 10:35:47.780000+00:00,0b0cd4e1-3bd5-41fc-9e24-d7a34709df8c,Participant1,what does the fox say,7163,8,1,http://www.gutenberg.org/cache/epub/3152/pg3152.html,http://www.gutenberg.org/cache/epub/3152/pg3152.html,,,,,
cursorLeftSnippet,2026-03-19 10:35:48.179000+00:00,0b0cd4e1-3bd5-41fc-9e24-d7a34709df8c,Participant1,what does the fox say,7163,8,1,http://www.gutenberg.org/cache/epub/3152/pg3152.html,http://localhost:7001/result?query=what+does+the+fox+say&page=1,,,,,
wentBack,2026-03-19 10:35:51.481000+00:00,0b0cd4e1-3bd5-41fc-9e24-d7a34709df8c,Participant1,what does the fox say,,,,,,http://www.gutenberg.org/cache/epub/3152/pg3152.html,http://localhost:7001/result?query=what+does+the+fox+say&page=1,,,
cursorEnteredSnippet,2026-03-19 10:35:57.288000+00:00,0b0cd4e1-3bd5-41fc-9e24-d7a34709df8c,Participant1,what does the fox say,7175,2,1,http://www.gutenberg.org/cache/epub/3152/pg3152.html,http://localhost:7001/result?query=what+does+the+fox+say&page=1,,,,,
clickedResult,2026-03-19 10:35:57.998000+00:00,0b0cd4e1-3bd5-41fc-9e24-d7a34709df8c,Participant1,what does the fox say,7175,2,1,http://www.gutenberg.org/cache/epub/3152/pg3152.html,http://www.gutenberg.org/cache/epub/3152/pg3152.html,,,,,
cursorLeftSnippet,2026-03-19 10:35:58.197000+00:00,0b0cd4e1-3bd5-41fc-9e24-d7a34709df8c,Participant1,what does the fox say,7175,2,1,http://www.gutenberg.org/cache/epub/3152/pg3152.html,http://localhost:7001/result?query=what+does+the+fox+say&page=1,,,,,
wentBack,2026-03-19 10:36:00.727000+00:00,0b0cd4e1-3bd5-41fc-9e24-d7a34709df8c,Participant1,what does the fox say,,,,,,http://www.gutenberg.org/cache/epub/3152/pg3152.html,http://localhost:7001/result?query=what+does+the+fox+say&page=1,,,
pageNavigationClicked,2026-03-19 10:36:04.568000+00:00,0b0cd4e1-3bd5-41fc-9e24-d7a34709df8c,Participant1,,,,,,,,,3,1.0,3.0
searchResultGenerated,2026-03-19 10:36:05.181000+00:00,0b0cd4e1-3bd5-41fc-9e24-d7a34709df8c,Participant1,what does the fox say,5006,1,3,http://www.gutenberg.org/cache/epub/6577/pg6577-images.html,http://localhost:7001/result?query=what+does+the+fox+say&page=3,,,,,
searchResultGenerated,2026-03-19 10:36:05.181000+00:00,0b0cd4e1-3bd5-41fc-9e24-d7a34709df8c,Participant1,what does the fox say,881,2,3,http://www.gutenberg.org/files/15164/15164-h/15164-h.htm#Page_37,http://localhost:7001/result?query=what+does+the+fox+say&page=3,,,,,
searchResultGenerated,2026-03-19 10:36:05.182000+00:00,0b0cd4e1-3bd5-41fc-9e24-d7a34709df8c,Participant1,what does the fox say,7021,3,3,http://www.gutenberg.org/files/25359/25359-h/25359-h.htm#Page_220,http://localhost:7001/result?query=what+does+the+fox+say&page=3,,,,,
searchResultGenerated,2026-03-19 10:36:05.182000+00:00,0b0cd4e1-3bd5-41fc-9e24-d7a34709df8c,Participant1,what does the fox say,4464,4,3,http://www.gutenberg.org/files/17160/17160-h/17160-h.htm#Page_164,http://localhost:7001/result?query=what+does+the+fox+say&page=3,,,,,
searchResultGenerated,2026-03-19 10:36:05.183000+00:00,0b0cd4e1-3bd5-41fc-9e24-d7a34709df8c,Participant1,what does the fox say,6156,5,3,http://www.gutenberg.org/files/25301/25301-h/25301-h.htm,http://localhost:7001/result?query=what+does+the+fox+say&page=3,,,,,
searchResultGenerated,2026-03-19 10:36:05.183000+00:00,0b0cd4e1-3bd5-41fc-9e24-d7a34709df8c,Participant1,what does the fox say,7008,6,3,http://www.gutenberg.org/files/25359/25359-h/25359-h.htm#Page_98,http://localhost:7001/result?query=what+does+the+fox+say&page=3,,,,,
searchResultGenerated,2026-03-19 10:36:05.184000+00:00,0b0cd4e1-3bd5-41fc-9e24-d7a34709df8c,Participant1,what does the fox say,470,7,3,http://www.gutenberg.org/files/21008/21008-h/21008-h.htm,http://localhost:7001/result?query=what+does+the+fox+say&page=3,,,,,
searchResultGenerated,2026-03-19 10:36:05.184000+00:00,0b0cd4e1-3bd5-41fc-9e24-d7a34709df8c,Participant1,what does the fox say,7143,8,3,http://www.gutenberg.org/ebooks/21864,http://localhost:7001/result?query=what+does+the+fox+say&page=3,,,,,
searchResultGenerated,2026-03-19 10:36:05.184000+00:00,0b0cd4e1-3bd5-41fc-9e24-d7a34709df8c,Participant1,what does the fox say,6735,9,3,http://www.gutenberg.org/files/17767/17767-h/17767-h.htm,http://localhost:7001/result?query=what+does+the+fox+say&page=3,,,,,
searchResultGenerated,2026-03-19 10:36:05.185000+00:00,0b0cd4e1-3bd5-41fc-9e24-d7a34709df8c,Participant1,what does the fox say,7421,10,3,http://www.gutenberg.org/files/19721/19721-h/19721-h.htm,http://localhost:7001/result?query=what+does+the+fox+say&page=3,,,,,
cursorEnteredSnippet,2026-03-19 10:36:08.421000+00:00,0b0cd4e1-3bd5-41fc-9e24-d7a34709df8c,Participant1,what does the fox say,7021,3,3,http://www.gutenberg.org/files/25359/25359-h/25359-h.htm#Page_220,http://localhost:7001/result?query=what+does+the+fox+say&page=3,,,,,
clickedResult,2026-03-19 10:36:09.096000+00:00,0b0cd4e1-3bd5-41fc-9e24-d7a34709df8c,Participant1,what does the fox say,7021,3,3,http://www.gutenberg.org/files/25359/25359-h/25359-h.htm#Page_220,http://www.gutenberg.org/files/25359/25359-h/25359-h.htm#Page_220,,,,,
cursorLeftSnippet,2026-03-19 10:36:09.580000+00:00,0b0cd4e1-3bd5-41fc-9e24-d7a34709df8c,Participant1,what does the fox say,7021,3,3,http://www.gutenberg.org/files/25359/25359-h/25359-h.htm#Page_220,http://localhost:7001/result?query=what+does+the+fox+say&page=3,,,,,
cursorEnteredSnippet,2026-03-19 10:36:21.271000+00:00,0b0cd4e1-3bd5-41fc-9e24-d7a34709df8c,Participant1,what does the fox say,6735,9,3,http://www.gutenberg.org/files/17767/17767-h/17767-h.htm,http://localhost:7001/result?query=what+does+the+fox+say&page=3,,,,,
clickedResult,2026-03-19 10:36:25.235000+00:00,0b0cd4e1-3bd5-41fc-9e24-d7a34709df8c,Participant1,what does the fox say,6735,9,3,http://www.gutenberg.org/files/17767/17767-h/17767-h.htm,http://www.gutenberg.org/files/17767/17767-h/17767-h.htm,,,,,
cursorLeftSnippet,2026-03-19 10:36:25.712000+00:00,0b0cd4e1-3bd5-41fc-9e24-d7a34709df8c,Participant1,what does the fox say,6735,9,3,http://www.gutenberg.org/files/17767/17767-h/17767-h.htm,http://localhost:7001/result?query=what+does+the+fox+say&page=3,,,,,
pageNavigationClicked,2026-03-19 10:36:43.879000+00:00,0b0cd4e1-3bd5-41fc-9e24-d7a34709df8c,Participant1,,,,,,,,,4,3.0,4.0
searchResultGenerated,2026-03-19 10:36:44.529000+00:00,0b0cd4e1-3bd5-41fc-9e24-d7a34709df8c,Participant1,what does the fox say,6725,1,4,http://www.gutenberg.org/files/19522/19522-h/19522-h.htm,http://localhost:7001/result?query=what+does+the+fox+say&page=4,,,,,
searchResultGenerated,2026-03-19 10:36:44.530000+00:00,0b0cd4e1-3bd5-41fc-9e24-d7a34709df8c,Participant1,what does the fox say,6637,2,4,http://www.gutenberg.org/cache/epub/13815/pg13815-images.html,http://localhost:7001/result?query=what+does+the+fox+say&page=4,,,,,
