uid,sessionID,sessionStartTime,sessionEndTime
Participant1,0b0cd4e1-3bd5-41fc-9e24-d7a34709df8c,2026-03-19 10:35:27.215,2026-03-19 10:39:42.105
Participant1,ac19467f-cd75-43ee-b0bb-d4a19dad75d0,2026-03-19 10:49:08.166,2026-03-19 10:52:04.684
Participant2,2db4a128-a7b0-462d-9432-0f66ce1c7a9f,2026-03-19 10:42:45.050,2026-03-19 10:47:08.329
Participant2,358665ed-05f9-463c-b357-29b94091e948,2026-03-19 10:52:24.510,2026-03-19 10:53:52.655
Participant3,5cb5b8f2-6892-4106-9aaa-2be16016a862,2026-03-19 10:47:15.477,2026-03-19 10:48:46.952
Participant3,bc54211a-9aac-4d27-96b4-9efdc0db6ace,2026-03-19 10:54:01.075,2026-03-19 10:55:45.138
